1	1	0
2	nan	0
3	nan	0
4	2	0
5	0	nan
6	6	0
7	0	nan
8	7	0
9	18	0
10	11	0
11	12	0
12	8	0
13	37	0
14	26	0
15	30	0
16	52	1
17	25	1
18	71	1
19	72	0
20	92	1
21	21	2
22	48	0
23	69	0
24	94	4
25	96	4
26	108	2
27	159	1
28	96	2
29	106	6
30	139	7
31	79	3
32	94	11
33	201	4
34	274	5
35	169	14
36	250	11
37	236	20
38	67	9
39	76	3
40	127	15
41	126	4
42	128	13
43	206	9
44	182	13
45	171	13
46	185	10
47	172	7
48	207	10
49	205	9
50	320	10
51	261	8
52	237	10
53	218	10
54	352	16
55	262	9
56	296	15
57	499	21
58	279	10
59	383	16
60	305	18
61	640	20
62	346	19
63	497	10
64	595	21
65	444	17
66	568	18
67	550	16
68	659	14
69	658	16
70	680	16
71	606	21
72	723	16
73	635	12
74	721	18
75	640	21
76	752	17
77	643	22
78	801	30
79	1046	23
80	998	22
81	806	23
82	1022	26
83	1101	27
84	1262	19
85	1322	31
86	1548	37
87	1147	49
88	1110	30
89	1340	40
90	1521	36
91	1766	42
92	1515	58
93	1392	60
94	1209	54
95	1483	49
96	1359	64
97	1604	61
98	nan	0
99	3176	112
100	1888	47
101	2193	75
102	2124	59
103	1868	75
104	2115	63
105	3171	86
106	3059	95
107	2357	81
108	3019	111
109	2531	73
110	2389	94
111	3541	87
112	3486	163
113	3843	157
114	4149	128
115	3178	167
116	3274	117
117	2803	111
118	4163	136
119	4101	171
120	3395	136
121	3884	165
122	3721	122
123	3171	146
124	4213	149
125	4144	168
126	5335	187
127	6803	211
128	4586	194
129	5083	188
130	3782	148
131	5671	170
132	5271	189
133	8037	215
134	8934	259
135	8560	228
136	6578	220
137	6727	193
138	7033	237
139	7390	207
140	7945	315
141	7168	287
142	7254	294
143	8181	256
144	8125	252
145	10284	297
146	8670	380
147	9965	356
148	9488	295
149	10673	225
150	11470	320
151	10199	367
152	7129	298
153	10735	309
154	11996	315
155	9486	311
156	9674	290
157	10611	302
158	10142	312
159	12830	321
160	12066	362
161	11286	308
162	11306	347
163	11578	318
164	11643	287
165	8328	275
166	12462	247
167	13056	360
168	11541	204
169	8419	385
170	10965	400
171	8044	348
172	10549	296
173	10432	277
174	10142	295
175	9752	284
176	8498	299
177	9394	297
178	8024	300
179	7230	299
180	8901	389
181	9270	296
182	8235	270
183	8488	270
184	8394	268
185	8065	256
186	5327	203
187	7665	202
